,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
1187,541760,Richmond Heights,3,2310,103,Taupo,Secondary urban area,0.12987012987012986,True
954,563706,Waikanae West,5,3840,25,Kapiti,Main urban area,0.13020833333333331,True
1065,541900,Ohope,4,3070,104,Whakatane,Secondary urban area,0.13029315960912052,True
1064,566700,Maoribank,4,3060,17,Upper Hutt Zone,Main urban area,0.130718954248366,True
1186,513020,Opanuku,3,2280,3,Western Auckland Zone,Main urban area,0.13157894736842105,True
1185,527914,Ngahinapouri,3,2280,6,Hamilton Zone,Main urban area,0.13157894736842105,True
1063,602500,Taieri,4,3010,502,Rural (Incl.some Off Shore Islands),Rural area,0.132890365448505,True
1324,557900,Durie Hill,2,1500,15,Wanganui,Main urban area,0.13333333333333333,True
744,524302,Aorere,8,5990,5,Southern Auckland Zone,Main urban area,0.1335559265442404,True
953,508110,Seacliffe,5,3740,2,Northern Auckland Zone,Main urban area,0.1336898395721925,True
952,576002,Island Bay East,5,3710,20,Wellington Zone,Main urban area,0.13477088948787064,True
1499,545302,Whakaki,1,740,502,Rural (Incl.some Off Shore Islands),Rural area,0.13513513513513514,True
1498,527810,Peacocke,1,740,6,Hamilton Zone,Main urban area,0.13513513513513514,True
1497,554111,Ohawe Beach,1,740,105,Hawera,Secondary urban area,0.13513513513513514,True
1496,535100,Tirau,1,740,501,Rural Centre,Rural area,0.13513513513513514,True
1495,553002,Douglas,1,740,502,Rural (Incl.some Off Shore Islands),Rural area,0.13513513513513514,True
1494,581717,Aniseed Hill,1,740,21,Nelson,Main urban area,0.13513513513513514,True
951,575000,Karori East,5,3700,20,Wellington Zone,Main urban area,0.13513513513513514,True
1062,551302,Waitara East,4,2960,247,Waitara,Minor urban area,0.13513513513513514,True
1323,503400,Maunu,2,1480,1,Whangarei,Main urban area,0.13513513513513514,True
1184,589300,Holmwood,3,2210,22,Christchurch,Main urban area,0.13574660633484162,True
1322,602000,Brighton,2,1470,23,Dunedin,Main urban area,0.13605442176870747,True
1183,501818,Parua Bay,3,2200,502,Rural (Incl.some Off Shore Islands),Rural area,0.13636363636363638,True
1182,571900,Plimmerton,3,2200,19,Porirua Zone,Main urban area,0.13636363636363638,True
