,Area_unit_2013_code,Area_unit_2013_label,Victimisations,Population,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Rate,Safe_Label
683,604500,St Clair,9,4390,23,Dunedin,Main urban area,0.2050113895216401,True
736,501809,Wharekohe-Oakleigh,8,3890,502,Rural (Incl.some Off Shore Islands),Rural area,0.2056555269922879,True
735,595400,Somerfield,8,3890,22,Christchurch,Main urban area,0.2056555269922879,True
1294,523819,Mill Road,2,970,5,Southern Auckland Zone,Main urban area,0.2061855670103093,True
734,521301,Drury,8,3870,5,Southern Auckland Zone,Main urban area,0.20671834625322996,True
594,517600,St Lukes,11,5290,4,Central Auckland Zone,Main urban area,0.20793950850661624,True
1293,551012,Glen Avon,2,960,14,New Plymouth,Main urban area,0.20833333333333334,True
1452,580432,Riverlands,1,480,26,Blenheim,Main urban area,0.20833333333333334,True
1160,542550,Matahina-Minginui,3,1440,502,Rural (Incl.some Off Shore Islands),Rural area,0.20833333333333334,True
682,531304,Otorohanga Rural East,9,4240,502,Rural (Incl.some Off Shore Islands),Rural area,0.21226415094339623,True
642,500202,Karikari Peninsula-Maungataniwha,10,4710,502,Rural (Incl.some Off Shore Islands),Rural area,0.21231422505307856,True
559,507800,Lake Pupuke,12,5650,2,Northern Auckland Zone,Main urban area,0.21238938053097348,True
1159,580442,Waikawa,3,1410,268,Picton,Minor urban area,0.2127659574468085,True
1451,500700,Omapere and Opononi,1,470,501,Rural Centre,Rural area,0.2127659574468085,True
1450,527112,Taupiri Community,1,470,6,Hamilton Zone,Main urban area,0.2127659574468085,True
1449,609035,Jacks Point,1,470,502,Rural (Incl.some Off Shore Islands),Rural area,0.2127659574468085,True
1448,604901,Taiaroa-Cape Saunders,1,470,23,Dunedin,Main urban area,0.2127659574468085,True
927,513410,Whenuapai West,5,2350,3,Western Auckland Zone,Main urban area,0.2127659574468085,True
854,610240,West Gore,6,2810,301,Gore,Minor urban area,0.21352313167259787,True
853,585700,Hurunui,6,2800,502,Rural (Incl.some Off Shore Islands),Rural area,0.2142857142857143,True
733,572500,Tawa South,8,3730,20,Wellington Zone,Main urban area,0.21447721179624668,True
472,523820,Redoubt South,15,6990,5,Southern Auckland Zone,Main urban area,0.2145922746781116,True
681,512402,Wakeling,9,4180,3,Western Auckland Zone,Main urban area,0.21531100478468898,True
926,579900,Greytown,5,2320,265,Greytown,Minor urban area,0.21551724137931033,True
1158,538841,Golden Springs,3,1390,502,Rural (Incl.some Off Shore Islands),Rural area,0.2158273381294964,True
680,519810,Onehunga South West,9,4160,4,Central Auckland Zone,Main urban area,0.21634615384615385,True
925,535250,Arapuni,5,2310,502,Rural (Incl.some Off Shore Islands),Rural area,0.21645021645021645,True
385,518701,Hillsborough West,18,8300,4,Central Auckland Zone,Main urban area,0.21686746987951808,True
1035,575902,Happy Valley-Owhiro Bay,4,1840,20,Wellington Zone,Main urban area,0.21739130434782608,True
1037,542540,Rotoma,4,1840,502,Rural (Incl.some Off Shore Islands),Rural area,0.21739130434782608,True
1036,576700,Roseneath,4,1840,20,Wellington Zone,Main urban area,0.21739130434782608,True
641,590400,Belfast,10,4580,22,Christchurch,Main urban area,0.21834061135371177,True
1034,573901,Paparangi,4,1830,20,Wellington Zone,Main urban area,0.2185792349726776,True
1157,573523,Grenada Village,3,1370,20,Wellington Zone,Main urban area,0.21897810218978103,True
784,589700,Westburn,7,3190,22,Christchurch,Main urban area,0.219435736677116,True
1156,582401,Britannia,3,1360,21,Nelson,Main urban area,0.22058823529411764,True
640,564240,Levin East,10,4520,107,Levin,Secondary urban area,0.22123893805309736,True
1447,538842,Reporoa,1,450,501,Rural Centre,Rural area,0.2222222222222222,True
1292,553900,Normanby,2,900,105,Hawera,Secondary urban area,0.2222222222222222,True
852,597741,Chertsey,6,2690,502,Rural (Incl.some Off Shore Islands),Rural area,0.22304832713754646,True
593,597200,Lincoln,11,4910,282,Lincoln,Minor urban area,0.2240325865580448,True
732,505909,Wade Heads,8,3570,2,Northern Auckland Zone,Main urban area,0.22408963585434172,True
924,586409,Kaiapoi North East,5,2230,22,Christchurch,Main urban area,0.2242152466367713,True
679,537201,Otumoetai North,9,4010,9,Tauranga,Main urban area,0.22443890274314215,True
678,575300,Kelburn,9,4010,20,Wellington Zone,Main urban area,0.22443890274314215,True
592,603300,North East Valley,11,4900,23,Dunedin,Main urban area,0.22448979591836735,True
1291,586407,Kaiapoi East,2,890,22,Christchurch,Main urban area,0.22471910112359553,True
1155,556300,Gonville East,3,1330,15,Wanganui,Main urban area,0.2255639097744361,True
783,589400,Fendalton,7,3100,22,Christchurch,Main urban area,0.22580645161290325,True
639,594400,St Martins,10,4420,22,Christchurch,Main urban area,0.22624434389140274,True
471,584202,Richmond West,15,6600,21,Nelson,Main urban area,0.22727272727272727,True
1446,607700,Lawrence,1,440,501,Rural Centre,Rural area,0.22727272727272727,True
851,502700,Mairtown,6,2640,1,Whangarei,Main urban area,0.22727272727272727,True
850,606300,Bush Road,6,2630,23,Dunedin,Main urban area,0.22813688212927757,True
923,528402,Pukete West,5,2190,6,Hamilton Zone,Main urban area,0.228310502283105,True
677,577102,Strathmore Park,9,3940,20,Wellington Zone,Main urban area,0.2284263959390863,True
1033,610020,Waikaia,4,1750,502,Rural (Incl.some Off Shore Islands),Rural area,0.2285714285714286,True
731,524001,Ambury,8,3500,5,Southern Auckland Zone,Main urban area,0.2285714285714286,True
500,518600,Royal Oak,14,6120,4,Central Auckland Zone,Main urban area,0.22875816993464054,True
1154,565902,Otaihanga,3,1310,25,Kapiti,Main urban area,0.22900763358778628,True
591,598312,Orari,11,4800,502,Rural (Incl.some Off Shore Islands),Rural area,0.22916666666666666,True
922,500204,Herekino,5,2180,502,Rural (Incl.some Off Shore Islands),Rural area,0.22935779816513763,True
1290,515432,St Lukes North,2,870,4,Central Auckland Zone,Main urban area,0.22988505747126436,True
1289,527936,Kihikihi Flat,2,870,8,Te Awamutu Zone,Main urban area,0.22988505747126436,True
782,611500,Newfield-Rockdale,7,3020,24,Invercargill,Main urban area,0.2317880794701987,True
781,552300,Merrilands,7,3010,14,New Plymouth,Main urban area,0.23255813953488372,True
1153,527915,Lake Cameron,3,1290,6,Hamilton Zone,Main urban area,0.23255813953488372,True
638,562720,Westbrook,10,4270,16,Palmerston North,Main urban area,0.234192037470726,True
849,592401,St Albans West,6,2560,22,Christchurch,Main urban area,0.234375,True
1288,535231,Te Poi,2,850,502,Rural (Incl.some Off Shore Islands),Rural area,0.2352941176470588,True
590,517903,Owairaka East,11,4670,4,Central Auckland Zone,Main urban area,0.23554603854389722,True
848,568401,Avalon West,6,2540,18,Lower Hutt Zone,Main urban area,0.23622047244094488,True
558,565903,Paraparaumu Beach South,12,5070,25,Kapiti,Main urban area,0.2366863905325444,True
557,590602,Parklands,12,5050,22,Christchurch,Main urban area,0.2376237623762376,True
443,512500,Mcleod,16,6730,3,Western Auckland Zone,Main urban area,0.237741456166419,True
1287,600600,Weston,2,840,114,Oamaru,Secondary urban area,0.2380952380952381,True
1152,585000,Runanga-Rapahoe,3,1260,111,Greymouth,Secondary urban area,0.2380952380952381,True
1445,609600,Lumsden Community,1,420,501,Rural Centre,Rural area,0.2380952380952381,True
729,588200,Styx Mill,8,3350,22,Christchurch,Main urban area,0.23880597014925373,True
730,579803,Kahutara,8,3350,502,Rural (Incl.some Off Shore Islands),Rural area,0.23880597014925373,True
728,595900,South Brighton,8,3340,22,Christchurch,Main urban area,0.23952095808383234,True
1151,503700,Parahaki,3,1250,1,Whangarei,Main urban area,0.24,True
499,562100,Milson,14,5800,16,Palmerston North,Main urban area,0.2413793103448276,True
676,512401,Edmonton,9,3720,3,Western Auckland Zone,Main urban area,0.24193548387096775,True
780,566620,Emerald Hill,7,2890,17,Upper Hutt Zone,Main urban area,0.2422145328719723,True
556,512202,Durham Green,12,4940,3,Western Auckland Zone,Main urban area,0.24291497975708504,True
727,512201,Matipo,8,3290,3,Western Auckland Zone,Main urban area,0.24316109422492402,True
1032,610210,North Gore,4,1640,301,Gore,Minor urban area,0.24390243902439024,True
1150,603210,Opoho,3,1230,23,Dunedin,Main urban area,0.24390243902439024,True
1444,531710,Mahoenui,1,410,502,Rural (Incl.some Off Shore Islands),Rural area,0.24390243902439024,True
555,511002,Woodglen,12,4920,3,Western Auckland Zone,Main urban area,0.24390243902439024,True
921,561901,Kauwhata,5,2040,502,Rural (Incl.some Off Shore Islands),Rural area,0.24509803921568626,True
675,514900,Waterview,9,3660,4,Central Auckland Zone,Main urban area,0.24590163934426232,True
847,598500,Geraldine,6,2440,285,Geraldine,Minor urban area,0.24590163934426232,True
384,523713,Ormiston,18,7310,5,Southern Auckland Zone,Main urban area,0.24623803009575923,True
1031,581500,Kaikoura Rural,4,1620,502,Rural (Incl.some Off Shore Islands),Rural area,0.24691358024691357,True
920,527133,Hautapu,5,2020,7,Cambridge Zone,Main urban area,0.24752475247524752,True
846,521201,Hingaia,6,2420,5,Southern Auckland Zone,Main urban area,0.24793388429752067,True
1149,581720,Hope,3,1210,21,Nelson,Main urban area,0.24793388429752067,True
845,599600,Watlington,6,2420,113,Timaru,Secondary urban area,0.24793388429752067,True
383,508420,Target Road,18,7260,2,Northern Auckland Zone,Main urban area,0.24793388429752067,True
637,530700,Hillcrest West,10,4030,6,Hamilton Zone,Main urban area,0.24813895781637718,True
1030,506642,South Head,4,1610,502,Rural (Incl.some Off Shore Islands),Rural area,0.2484472049689441,True
1029,502001,Springs Flat,4,1610,1,Whangarei,Main urban area,0.2484472049689441,True
527,519002,Waikowhai East,13,5230,4,Central Auckland Zone,Main urban area,0.24856596558317398,True
844,523817,Hyperion,6,2410,5,Southern Auckland Zone,Main urban area,0.24896265560165973,True
726,590702,Riccarton West,8,3210,22,Christchurch,Main urban area,0.24922118380062305,True
636,598900,Marchwiel,10,4010,113,Timaru,Secondary urban area,0.24937655860349126,True
526,519200,Mt St John,13,5210,4,Central Auckland Zone,Main urban area,0.24952015355086374,True
1442,600320,Lake Tekapo,1,400,501,Rural Centre,Rural area,0.25,True
919,612400,Te Anau,5,2000,298,Te Anau,Minor urban area,0.25,True
1443,521203,Bremner,1,400,5,Southern Auckland Zone,Main urban area,0.25,True
498,547300,Taradale South,14,5580,12,Napier Zone,Main urban area,0.25089605734767023,True
779,505907,Stanmore Bay West,7,2790,2,Northern Auckland Zone,Main urban area,0.25089605734767023,True
470,510010,Beachhaven North,15,5960,2,Northern Auckland Zone,Main urban area,0.25167785234899326,True
589,568602,Waterloo East,11,4370,18,Lower Hutt Zone,Main urban area,0.2517162471395881,True
918,561902,Turitea,5,1980,502,Rural (Incl.some Off Shore Islands),Rural area,0.25252525252525254,True
1285,603720,Balmacewen,2,790,23,Dunedin,Main urban area,0.25316455696202533,True
1286,564011,Lake Horowhenua,2,790,107,Levin,Secondary urban area,0.25316455696202533,True
917,586404,Mansfield,5,1970,22,Christchurch,Main urban area,0.25380710659898476,True
843,611002,Hawthorndale,6,2360,24,Invercargill,Main urban area,0.2542372881355932,True
415,521122,Kingseat,17,6670,502,Rural (Incl.some Off Shore Islands),Rural area,0.25487256371814093,True
842,604020,Roslyn South,6,2350,23,Dunedin,Main urban area,0.2553191489361702,True
778,605800,Green Island,7,2740,23,Dunedin,Main urban area,0.25547445255474455,True
1148,580448,Tuamarina,3,1170,502,Rural (Incl.some Off Shore Islands),Rural area,0.2564102564102564,True
1441,585602,Cheviot,1,390,501,Rural Centre,Rural area,0.2564102564102564,True
1028,564022,Otaki Forks,4,1560,502,Rural (Incl.some Off Shore Islands),Rural area,0.2564102564102564,True
635,506631,Snells Beach,10,3890,212,Snells Beach,Minor urban area,0.2570694087403599,True
442,517800,Mt Albert Central,16,6220,4,Central Auckland Zone,Main urban area,0.2572347266881029,True
634,515410,Grey Lynn West,10,3870,4,Central Auckland Zone,Main urban area,0.2583979328165375,True
633,596200,Sumner,10,3870,22,Christchurch,Main urban area,0.2583979328165375,True
916,592812,Dallington,5,1930,22,Christchurch,Main urban area,0.2590673575129534,True
840,610500,Winton,6,2310,296,Winton,Minor urban area,0.2597402597402597,True
1284,606900,Kaitangata,2,770,501,Rural Centre,Rural area,0.2597402597402597,True
841,536642,Upper Papamoa,6,2310,502,Rural (Incl.some Off Shore Islands),Rural area,0.2597402597402597,True
632,515001,Point Chevalier West,10,3840,4,Central Auckland Zone,Main urban area,0.26041666666666663,True
554,522722,Highland Park,12,4600,5,Southern Auckland Zone,Main urban area,0.26086956521739135,True
725,560740,Feilding East,8,3060,106,Feilding,Secondary urban area,0.261437908496732,True
674,584000,Langbein,9,3440,21,Nelson,Main urban area,0.2616279069767442,True
260,505805,Orewa,24,9170,2,Northern Auckland Zone,Main urban area,0.2617230098146129,True
469,529300,Glenview,15,5730,6,Hamilton Zone,Main urban area,0.2617801047120419,True
382,520201,Ellerslie North,18,6870,4,Central Auckland Zone,Main urban area,0.26200873362445415,True
553,509800,Northcote South,12,4570,2,Northern Auckland Zone,Main urban area,0.26258205689277897,True
724,513212,Starling Park,8,3040,3,Western Auckland Zone,Main urban area,0.2631578947368421,True
1440,609500,Riversdale Community,1,380,501,Rural Centre,Rural area,0.2631578947368421,True
1283,602200,Outram,2,760,501,Rural Centre,Rural area,0.2631578947368421,True
1027,601603,Evansdale,4,1520,502,Rural (Incl.some Off Shore Islands),Rural area,0.2631578947368421,True
631,538302,Welcome Bay West,10,3800,9,Tauranga,Main urban area,0.2631578947368421,True
673,588402,Sawyers Arms,9,3410,22,Christchurch,Main urban area,0.26392961876832843,True
525,511601,Glendene North,13,4900,3,Western Auckland Zone,Main urban area,0.2653061224489796,True
1146,573802,Johnsonville East,3,1130,20,Wellington Zone,Main urban area,0.2654867256637168,True
1147,505601,Waimauku,3,1130,3,Western Auckland Zone,Main urban area,0.2654867256637168,True
1282,601301,Waihemo,2,750,502,Rural (Incl.some Off Shore Islands),Rural area,0.26666666666666666,True
630,566102,Raumati South,10,3750,25,Kapiti,Main urban area,0.26666666666666666,True
441,518201,Balmoral,16,5990,4,Central Auckland Zone,Main urban area,0.2671118530884808,True
629,536201,Papamoa Beach East,10,3740,9,Tauranga,Main urban area,0.267379679144385,True
723,568502,Epuni East,8,2990,18,Lower Hutt Zone,Main urban area,0.26755852842809363,True
336,525921,Pukekohe West,20,7450,101,Pukekohe,Secondary urban area,0.2684563758389262,True
1026,505603,Riverhead Urban,4,1490,3,Western Auckland Zone,Main urban area,0.2684563758389262,True
915,523107,Burswood,5,1860,5,Southern Auckland Zone,Main urban area,0.2688172043010753,True
777,592900,Avondale,7,2590,22,Christchurch,Main urban area,0.2702702702702703,True
1024,578302,Opaki-Fernridge,4,1480,109,Masterton,Secondary urban area,0.2702702702702703,True
1145,592811,Burwood,3,1110,22,Christchurch,Main urban area,0.2702702702702703,True
672,513214,Ranui South,9,3330,3,Western Auckland Zone,Main urban area,0.2702702702702703,True
1437,573511,Glenside North,1,370,20,Wellington Zone,Main urban area,0.2702702702702703,True
1438,584702,Mawheraiti,1,370,502,Rural (Incl.some Off Shore Islands),Rural area,0.2702702702702703,True
1439,500100,Awanui,1,370,501,Rural Centre,Rural area,0.2702702702702703,True
1025,545721,Karamu,4,1480,13,Hastings Zone,Main urban area,0.2702702702702703,True
1023,513431,Hobsonville East,4,1470,3,Western Auckland Zone,Main urban area,0.27210884353741494,True
722,511301,New Lynn North,8,2940,3,Western Auckland Zone,Main urban area,0.27210884353741494,True
1144,525202,Kawakawa-Orere,3,1100,502,Rural (Incl.some Off Shore Islands),Rural area,0.27272727272727276,True
1143,527221,Maramarua,3,1100,502,Rural (Incl.some Off Shore Islands),Rural area,0.27272727272727276,True
839,551503,Marfell,6,2190,14,New Plymouth,Main urban area,0.273972602739726,True
524,534902,Morrinsville East,13,4740,231,Morrinsville,Minor urban area,0.27426160337552746,True
1142,608303,Clyde,3,1090,501,Rural Centre,Rural area,0.27522935779816515,True
588,552100,Fitzroy,11,3980,14,New Plymouth,Main urban area,0.2763819095477387,True
775,601020,Orana Park,7,2530,114,Oamaru,Secondary urban area,0.2766798418972332,True
776,577302,Miramar,7,2530,20,Wellington Zone,Main urban area,0.2766798418972332,True
1280,612600,Otautau,2,720,501,Rural Centre,Rural area,0.2777777777777778,True
1436,545831,Waiohiki,1,360,12,Napier Zone,Main urban area,0.2777777777777778,True
914,536614,Tahawai,5,1800,502,Rural (Incl.some Off Shore Islands),Rural area,0.2777777777777778,True
1435,545912,Puketitiri,1,360,502,Rural (Incl.some Off Shore Islands),Rural area,0.2777777777777778,True
587,544500,Whataupoko,11,3960,11,Gisborne,Main urban area,0.2777777777777778,True
1281,535320,Parkdale,2,720,102,Tokoroa,Secondary urban area,0.2777777777777778,True
628,611800,Kingswell-Clifton,10,3570,24,Invercargill,Main urban area,0.2801120448179272,True
1141,535261,Lichfield,3,1070,502,Rural (Incl.some Off Shore Islands),Rural area,0.2803738317757009,True
552,560710,Feilding North,12,4280,106,Feilding,Secondary urban area,0.2803738317757009,True
468,513521,West Harbour,15,5320,3,Western Auckland Zone,Main urban area,0.28195488721804507,True
1140,576302,Berhampore East,3,1060,20,Wellington Zone,Main urban area,0.2830188679245283,True
671,504501,Kaipara Coastal,9,3180,502,Rural (Incl.some Off Shore Islands),Rural area,0.2830188679245283,True
627,590603,Waimairi Beach,10,3520,22,Christchurch,Main urban area,0.2840909090909091,True
1022,569800,Korokoro,4,1400,18,Lower Hutt Zone,Main urban area,0.2857142857142857,True
837,591300,Heathcote Valley,6,2100,22,Christchurch,Main urban area,0.2857142857142857,True
838,544002,Tiniroto,6,2100,502,Rural (Incl.some Off Shore Islands),Rural area,0.2857142857142857,True
523,536514,Bethlehem,13,4540,9,Tauranga,Main urban area,0.28634361233480177,True
626,552800,Inglewood,10,3490,248,Inglewood,Minor urban area,0.28653295128939826,True
774,524121,Arahanga,7,2440,5,Southern Auckland Zone,Main urban area,0.28688524590163933,True
625,515202,St Marys,10,3480,4,Central Auckland Zone,Main urban area,0.28735632183908044,True
721,525201,Clevedon,8,2780,502,Rural (Incl.some Off Shore Islands),Rural area,0.28776978417266186,True
551,508807,North Harbour East,12,4160,2,Northern Auckland Zone,Main urban area,0.2884615384615385,True
1139,566302,Maungakotukutuku,3,1040,502,Rural (Incl.some Off Shore Islands),Rural area,0.2884615384615385,True
720,527210,Waerenga,8,2770,502,Rural (Incl.some Off Shore Islands),Rural area,0.2888086642599278,True
836,549100,Waipawa,6,2070,243,Waipawa,Minor urban area,0.2898550724637681,True
1279,545852,Pakipaki,2,690,13,Hastings Zone,Main urban area,0.2898550724637681,True
1137,542421,Coastlands,3,1030,104,Whakatane,Secondary urban area,0.2912621359223301,True
1138,535232,Tapapa,3,1030,502,Rural (Incl.some Off Shore Islands),Rural area,0.2912621359223301,True
719,500402,Mangapa-Matauri Bay,8,2740,502,Rural (Incl.some Off Shore Islands),Rural area,0.291970802919708,True
1021,571000,Ranui Heights,4,1370,19,Porirua Zone,Main urban area,0.291970802919708,True
835,569202,Alicetown,6,2050,18,Lower Hutt Zone,Main urban area,0.2926829268292683,True
624,511001,Tangutu,10,3410,3,Western Auckland Zone,Main urban area,0.2932551319648094,True
1277,561812,Longburn,2,680,16,Palmerston North,Main urban area,0.29411764705882354,True
1278,506658,Omaha,2,680,502,Rural (Incl.some Off Shore Islands),Rural area,0.29411764705882354,True
1136,602422,Saddle Hill,3,1020,23,Dunedin,Main urban area,0.29411764705882354,True
1434,609911,Makarewa North,1,340,502,Rural (Incl.some Off Shore Islands),Rural area,0.29411764705882354,True
623,576903,Kilbirnie West-Hataitai South,10,3390,20,Wellington Zone,Main urban area,0.2949852507374631,True
670,601040,Oamaru South,9,3050,114,Oamaru,Secondary urban area,0.29508196721311475,True
1135,584600,Reefton,3,1010,275,Reefton,Minor urban area,0.297029702970297,True
718,547002,Tamatea South,8,2690,12,Napier Zone,Main urban area,0.29739776951672864,True
586,565901,Paraparaumu Beach North,11,3690,25,Kapiti,Main urban area,0.2981029810298103,True
522,513632,Waimumu South,13,4360,3,Western Auckland Zone,Main urban area,0.2981651376146789,True
1276,585316,Waimea-Arahura,2,670,502,Rural (Incl.some Off Shore Islands),Rural area,0.2985074626865672,True
669,582300,The Wood,9,3010,21,Nelson,Main urban area,0.29900332225913623,True
717,586303,Rangiora East,8,2670,116,Rangiora,Secondary urban area,0.299625468164794,True
414,536630,Kaimai,17,5640,502,Rural (Incl.some Off Shore Islands),Rural area,0.30141843971631205,True
773,521803,Otahuhu East,7,2320,4,Central Auckland Zone,Main urban area,0.3017241379310345,True
622,564021,Mangaore-Manakau,10,3300,502,Rural (Incl.some Off Shore Islands),Rural area,0.30303030303030304,True
834,545611,Bay View,6,1980,12,Napier Zone,Main urban area,0.30303030303030304,True
912,531720,Marokopa,5,1650,502,Rural (Incl.some Off Shore Islands),Rural area,0.30303030303030304,True
913,521135,Mangatawhiri,5,1650,502,Rural (Incl.some Off Shore Islands),Rural area,0.30303030303030304,True
1433,561410,Rakiraki,1,330,106,Feilding,Secondary urban area,0.30303030303030304,True
668,567700,Trentham North,9,2960,17,Upper Hutt Zone,Main urban area,0.30405405405405406,True
667,539320,Pukehangi South,9,2950,10,Rotorua,Main urban area,0.3050847457627119,True
772,521152,Glenbrook,7,2290,502,Rural (Incl.some Off Shore Islands),Rural area,0.3056768558951965,True
911,577900,Mangatainoka,5,1630,502,Rural (Incl.some Off Shore Islands),Rural area,0.3067484662576687,True
771,550700,Okoki-Okau,7,2280,502,Rural (Incl.some Off Shore Islands),Rural area,0.30701754385964913,True
770,590604,Styx,7,2270,22,Christchurch,Main urban area,0.30837004405286345,True
910,513622,Birdwood East,5,1620,3,Western Auckland Zone,Main urban area,0.30864197530864196,True
666,611100,Richmond,9,2910,24,Invercargill,Main urban area,0.30927835051546393,True
1020,580431,Spring Creek-Grovetown,4,1290,26,Blenheim,Main urban area,0.31007751937984496,True
381,594800,Barrington North,18,5770,22,Christchurch,Main urban area,0.3119584055459272,True
1432,585321,Whataroa,1,320,502,Rural (Incl.some Off Shore Islands),Rural area,0.3125,True
833,556100,Tawhero,6,1920,15,Wanganui,Main urban area,0.3125,True
550,516201,Orakei South,12,3840,4,Central Auckland Zone,Main urban area,0.3125,True
585,508620,Sunnybrae,11,3510,2,Northern Auckland Zone,Main urban area,0.31339031339031337,True
521,505808,Red Beach East,13,4140,2,Northern Auckland Zone,Main urban area,0.3140096618357488,True
1019,553004,Pembroke,4,1270,502,Rural (Incl.some Off Shore Islands),Rural area,0.31496062992125984,True
621,578902,Solway South,10,3170,109,Masterton,Secondary urban area,0.31545741324921134,True
1134,535242,Hinuera,3,950,502,Rural (Incl.some Off Shore Islands),Rural area,0.3157894736842105,True
584,601010,Oamaru North,11,3480,114,Oamaru,Secondary urban area,0.3160919540229885,True
440,536832,Te Maunga,16,5060,9,Tauranga,Main urban area,0.31620553359683795,True
909,504300,Hikurangi,5,1580,1,Whangarei,Main urban area,0.31645569620253167,True
665,530600,Silverdale,9,2840,6,Hamilton Zone,Main urban area,0.31690140845070425,True
1018,564510,Heretaunga,4,1260,17,Upper Hutt Zone,Main urban area,0.31746031746031744,True
497,535800,Katikati Community,14,4410,234,Katikati Community,Minor urban area,0.31746031746031744,True
769,538742,Owhata East,7,2200,10,Rotorua,Main urban area,0.3181818181818182,True
908,505604,Kumeu East,5,1570,3,Western Auckland Zone,Main urban area,0.3184713375796179,True
467,522920,Edgewater,15,4700,5,Southern Auckland Zone,Main urban area,0.3191489361702127,True
1133,501200,Haruru Falls,3,940,501,Rural Centre,Rural area,0.3191489361702127,True
380,524530,Harania East,18,5630,5,Southern Auckland Zone,Main urban area,0.3197158081705151,True
583,528504,Grandview,11,3440,6,Hamilton Zone,Main urban area,0.31976744186046513,True
1132,585120,Blaketown,3,930,111,Greymouth,Secondary urban area,0.3225806451612903,True
716,578000,Pahiatua,8,2480,263,Pahiatua,Minor urban area,0.3225806451612903,True
1017,586501,Clarkville,4,1240,22,Christchurch,Main urban area,0.3225806451612903,True
1430,612200,Nightcaps,1,310,501,Rural Centre,Rural area,0.3225806451612903,True
439,520401,Ferndale,16,4960,4,Central Auckland Zone,Main urban area,0.3225806451612903,True
1431,506659,Matakana,1,310,502,Rural (Incl.some Off Shore Islands),Rural area,0.3225806451612903,True
466,516003,Abbotts Park,15,4640,4,Central Auckland Zone,Main urban area,0.3232758620689655,True
664,536654,Pongakawa,9,2780,502,Rural (Incl.some Off Shore Islands),Rural area,0.3237410071942446,True
620,588102,Redwood South,10,3080,22,Christchurch,Main urban area,0.3246753246753247,True
768,557500,Williams Domain,7,2150,15,Wanganui,Main urban area,0.32558139534883723,True
1130,521000,Great Barrier Island,3,920,502,Rural (Incl.some Off Shore Islands),Rural area,0.32608695652173914,True
832,605910,Abbotsford,6,1840,23,Dunedin,Main urban area,0.32608695652173914,True
1131,501615,Waitangi,3,920,502,Rural (Incl.some Off Shore Islands),Rural area,0.32608695652173914,True
496,598600,Temuka,14,4290,286,Temuka,Minor urban area,0.32634032634032634,True
359,592000,Aorangi,19,5800,22,Christchurch,Main urban area,0.3275862068965517,True
217,523712,Donegal Park,27,8240,5,Southern Auckland Zone,Main urban area,0.3276699029126214,True
1275,545750,Brookvale,2,610,13,Hastings Zone,Main urban area,0.32786885245901637,True
907,538301,Kaitemako,5,1520,9,Tauranga,Main urban area,0.3289473684210526,True
830,545631,Meeanee,6,1820,12,Napier Zone,Main urban area,0.32967032967032966,True
1129,581841,Golden Downs,3,910,502,Rural (Incl.some Off Shore Islands),Rural area,0.32967032967032966,True
831,500801,Hokianga North,6,1820,502,Rural (Incl.some Off Shore Islands),Rural area,0.32967032967032966,True
1016,553003,Toko,4,1210,502,Rural (Incl.some Off Shore Islands),Rural area,0.3305785123966942,True
663,605600,St Kilda East,9,2720,23,Dunedin,Main urban area,0.33088235294117646,True
321,513631,Waimumu North,21,6340,3,Western Auckland Zone,Main urban area,0.3312302839116719,True
829,604120,Belleknowes,6,1810,23,Dunedin,Main urban area,0.3314917127071823,True
767,592820,Travis,7,2100,22,Christchurch,Main urban area,0.33333333333333337,True
1428,600827,Omarama,1,300,501,Rural Centre,Rural area,0.33333333333333337,True
1429,542904,Oponae,1,300,502,Rural (Incl.some Off Shore Islands),Rural area,0.33333333333333337,True
520,522910,Pakuranga Central,13,3900,5,Southern Auckland Zone,Main urban area,0.33333333333333337,True
465,512100,Green Bay,15,4490,3,Western Auckland Zone,Main urban area,0.33407572383073497,True
582,534200,Ohinemuri,11,3290,502,Rural (Incl.some Off Shore Islands),Rural area,0.3343465045592705,True
519,581601,Golden Bay,13,3880,502,Rural (Incl.some Off Shore Islands),Rural area,0.33505154639175255,True
495,538303,Welcome Bay East,14,4160,9,Tauranga,Main urban area,0.33653846153846156,True
766,534100,Waihi Beach,7,2070,227,Waihi Beach,Minor urban area,0.33816425120772947,True
581,548100,Parkvale,11,3250,13,Hastings Zone,Main urban area,0.3384615384615385,True
765,562320,Cloverlea,7,2060,16,Palmerston North,Main urban area,0.33980582524271846,True
906,539700,Utuhina,5,1470,10,Rotorua,Main urban area,0.3401360544217687,True
1128,577700,Makara-Ohariu,3,880,501,Rural Centre,Rural area,0.3409090909090909,True
1014,604830,Broad Bay-Portobello,4,1170,23,Dunedin,Main urban area,0.3418803418803419,True
1015,542903,Cape Runaway,4,1170,502,Rural (Incl.some Off Shore Islands),Rural area,0.3418803418803419,True
828,553500,Mangatoki-Moeroa,6,1750,502,Rural (Incl.some Off Shore Islands),Rural area,0.34285714285714286,True
280,513530,Royal Heights,23,6700,3,Western Auckland Zone,Main urban area,0.34328358208955223,True
549,599100,Highfield,12,3490,113,Timaru,Secondary urban area,0.3438395415472779,True
1013,539000,Selwyn Heights,4,1160,10,Rotorua,Main urban area,0.3448275862068966,True
